,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
1131,2014-05-21 00:00:00,334990.0,4.0,2.5,2220,4228,2.0,0,0,3,2220,0,2014,0,11283-11399 5th Ave SW,Seattle,WA 98146,USA
1136,2014-05-21 00:00:00,360000.0,3.0,2.5,1530,1131,3.0,0,0,3,1530,0,2009,0,933 N 97th St,Seattle,WA 98103,USA
1144,2014-05-22 00:00:00,373500.0,2.0,1.0,800,3330,1.0,0,0,3,800,0,1918,0,108 NW 41st St,Seattle,WA 98107,USA
1148,2014-05-22 00:00:00,494400.0,2.0,1.75,1560,1750,1.0,0,0,4,780,780,1904,0,115 Blaine St,Seattle,WA 98109,USA
1150,2014-05-22 00:00:00,926300.0,3.0,1.5,1660,4800,2.0,0,0,3,1660,0,1907,1983,1814 1st Ave W,Seattle,WA 98119,USA
1151,2014-05-22 00:00:00,600000.0,3.0,1.75,1650,5100,1.0,0,0,5,1040,610,1908,0,547 NE 81st St,Seattle,WA 98115,USA
1155,2014-05-22 00:00:00,219900.0,3.0,1.0,910,6000,1.0,0,0,2,910,0,1956,0,303 SW 108th St,Seattle,WA 98146,USA
1156,2014-05-22 00:00:00,270000.0,2.0,1.5,840,867,2.0,0,0,3,840,0,2005,0,9122 23rd Ave NE,Seattle,WA 98115,USA
1157,2014-05-22 00:00:00,432000.0,3.0,2.25,1470,1578,2.0,0,0,3,1090,380,2007,0,7202 California Ave SW,Seattle,WA 98136,USA
1162,2014-05-22 00:00:00,305000.0,4.0,1.75,2200,8100,1.5,0,0,5,1400,800,1942,0,12036 23rd Ave S,Seattle,WA 98168,USA
1164,2014-05-22 00:00:00,235750.0,2.0,1.0,740,11250,1.0,0,0,2,740,0,1938,0,11050 24th Pl SW,Seattle,WA 98146,USA
1165,2014-05-22 00:00:00,657000.0,4.0,1.75,2740,8520,1.0,0,2,3,1370,1370,1954,2005,5524 S Morgan St,Seattle,WA 98118,USA
1168,2014-05-22 00:00:00,150000.0,2.0,1.0,820,10270,1.0,0,0,3,820,0,1954,2005,10218 Aqua Way S,Seattle,WA 98168,USA
1173,2014-05-22 00:00:00,319950.0,2.0,1.0,1070,5824,1.0,0,2,5,1070,0,1949,0,7057 S Lakeridge Dr,Seattle,WA 98178,USA
1174,2014-05-22 00:00:00,337000.0,3.0,1.0,1070,6109,1.0,0,0,5,1070,0,1951,0,12551 Roosevelt Way NE,Seattle,WA 98125,USA
1175,2014-05-22 00:00:00,492000.0,4.0,2.0,1640,5000,2.0,0,0,3,1640,0,1907,1983,639 NW 52nd St,Seattle,WA 98107,USA
1179,2014-05-22 00:00:00,400000.0,3.0,1.0,1040,6250,1.0,0,0,3,1040,0,1942,1999,5440 42nd Ave SW,Seattle,WA 98136,USA
1183,2014-05-22 00:00:00,431500.0,3.0,3.5,1900,1612,2.0,0,0,3,1430,470,2008,0,6527 41st Ave SW,Seattle,WA 98136,USA
1185,2014-05-22 00:00:00,677000.0,3.0,2.0,2000,3207,1.0,0,0,4,1100,900,1916,0,1330 N Lucas Pl,Seattle,WA 98103,USA
1186,2014-05-22 00:00:00,1180500.0,3.0,1.75,1610,7200,1.0,0,0,3,1090,520,1973,2013,1015 36th Ave E,Seattle,WA 98112,USA
1189,2014-05-22 00:00:00,168000.0,2.0,2.5,1160,2174,2.0,0,0,3,1160,0,1998,2006,8601-8633 26th Ave SW,Seattle,WA 98106,USA
1190,2014-05-22 00:00:00,805000.0,4.0,2.75,2410,6000,1.0,0,0,5,1410,1000,1950,0,3210 NW 58th St,Seattle,WA 98107,USA
1194,2014-05-22 00:00:00,940000.0,4.0,2.75,2080,4000,1.5,0,0,3,2080,0,1912,2000,6042 Sycamore Ave NW,Seattle,WA 98107,USA
1197,2014-05-22 00:00:00,380000.0,2.0,2.5,1230,987,2.0,0,0,3,1060,170,2011,0,2031 S Washington St,Seattle,WA 98144,USA
1201,2014-05-22 00:00:00,353250.0,2.0,1.0,1060,1600,2.0,0,0,3,1060,0,1979,2014,1523 30th Ave S,Seattle,WA 98144,USA
1203,2014-05-22 00:00:00,320000.0,3.0,2.25,998,844,2.0,0,0,3,798,200,2007,0,820 NW 95th St,Seattle,WA 98117,USA
1207,2014-05-22 00:00:00,321000.0,3.0,2.25,1347,1292,3.0,0,0,3,1347,0,2010,0,14007-14017 35th Ave NE,Seattle,WA 98125,USA
1210,2014-05-22 00:00:00,359000.0,3.0,1.5,1360,885,3.0,0,0,3,1360,0,2008,0,709 N 94th St,Seattle,WA 98103,USA
1211,2014-05-22 00:00:00,300000.0,5.0,2.5,2760,6000,2.0,0,0,3,2760,0,2006,0,843 S Rose St,Seattle,WA 98108,USA
1212,2014-05-22 00:00:00,380000.0,5.0,3.5,2420,4670,2.0,0,0,3,2420,0,2013,1923,8803 38th Ave S,Seattle,WA 98118,USA
1214,2014-05-22 00:00:00,355000.0,3.0,2.25,1280,959,3.0,0,0,3,1280,0,2005,0,8526 Nesbit Ave N,Seattle,WA 98103,USA
1216,2014-05-22 00:00:00,353000.0,1.0,1.0,550,1279,2.0,0,0,3,550,0,2008,0,1620 14th Ave,Seattle,WA 98122,USA
1217,2014-05-22 00:00:00,430000.0,2.0,2.5,1520,1588,2.0,0,0,3,1240,280,2007,0,2310 15th Ave S,Seattle,WA 98144,USA
1218,2014-05-23 00:00:00,460000.0,3.0,1.0,1670,4005,1.5,0,0,4,1170,500,1939,1989,8030 18th Ave NW,Seattle,WA 98117,USA
1222,2014-05-23 00:00:00,325000.0,3.0,1.0,1920,6862,1.0,0,2,3,1120,800,1952,2008,4602 S Fletcher St,Seattle,WA 98118,USA
1223,2014-05-23 00:00:00,980000.0,4.0,3.0,3680,5854,1.0,0,3,3,2060,1620,1967,2011,1414 Magnolia Blvd W,Seattle,WA 98199,USA
1226,2014-05-23 00:00:00,662990.0,3.0,1.75,1240,3600,1.5,0,0,5,1240,0,1926,0,2552 57th Ave SW,Seattle,WA 98116,USA
1233,2014-05-23 00:00:00,478000.0,3.0,1.0,1280,2580,1.5,0,0,3,1280,0,1910,2014,6008 8th Ave NE,Seattle,WA 98115,USA
1234,2014-05-23 00:00:00,515000.0,2.0,1.0,1680,6500,1.0,0,0,4,1140,540,1941,1998,5906 44th Ave SW,Seattle,WA 98136,USA
1236,2014-05-23 00:00:00,149000.0,3.0,1.0,1700,8645,1.0,0,0,3,1700,0,1955,2005,12701 2nd Ave SW,Seattle,WA 98146,USA
1237,2014-05-23 00:00:00,526000.0,3.0,1.75,1680,3420,1.0,0,0,3,960,720,1992,0,7717 35th Ave NE,Seattle,WA 98115,USA
1243,2014-05-23 00:00:00,648475.0,4.0,2.75,2250,5700,1.0,0,0,3,1200,1050,1951,1994,2436 Dexter Ave N,Seattle,WA 98109,USA
1244,2014-05-23 00:00:00,383000.0,3.0,1.0,1800,5612,1.0,0,0,4,1200,600,1942,1982,8639 36th Ave SW,Seattle,WA 98126,USA
1246,2014-05-23 00:00:00,449950.0,3.0,2.0,1560,4080,2.0,0,0,3,1560,0,1923,1982,828 NE 83rd St,Seattle,WA 98115,USA
1249,2014-05-23 00:00:00,599000.0,3.0,2.75,1960,2500,1.5,0,0,5,1410,550,1926,0,427 N 63rd St,Seattle,WA 98103,USA
1251,2014-05-23 00:00:00,595000.0,2.0,1.5,1030,4500,1.0,0,0,3,830,200,1924,2011,2726 Mayfair Ave N,Seattle,WA 98109,USA
1258,2014-05-23 00:00:00,1325000.0,4.0,3.0,3370,7920,1.0,0,3,3,1860,1510,1988,2000,3524 NW 67th St,Seattle,WA 98117,USA
1263,2014-05-23 00:00:00,661254.0,4.0,4.0,2290,6250,1.5,0,0,5,1690,600,1940,0,2319 41st Ave SW,Seattle,WA 98116,USA
1269,2014-05-23 00:00:00,641000.0,3.0,1.75,1620,3975,1.0,0,0,5,940,680,1926,0,6729 Dibble Ave NW,Seattle,WA 98117,USA
1274,2014-05-23 00:00:00,464600.0,3.0,1.75,1120,5500,1.5,0,0,4,1120,0,1925,1968,6617 Beveridge Pl SW,Seattle,WA 98136,USA
1276,2014-05-23 00:00:00,300000.0,2.0,1.0,1340,7788,1.0,0,2,3,1340,0,1947,2012,7111 S Ryan St,Seattle,WA 98178,USA
1277,2014-05-23 00:00:00,670500.0,4.0,2.0,1590,6750,1.0,0,0,3,1590,0,1951,1994,2333 12th Ave E,Seattle,WA 98102,USA
1278,2014-05-23 00:00:00,552000.0,3.0,1.0,1430,5000,1.0,0,0,4,1080,350,1919,1985,6008 29th Ave NE,Seattle,WA 98115,USA
1279,2014-05-23 00:00:00,244000.0,4.0,1.0,1450,8960,1.0,0,0,3,1450,0,1943,2002,1011 SW 118th St,Seattle,WA 98146,USA
1282,2014-05-23 00:00:00,530000.0,4.0,1.75,1814,5000,1.0,0,0,4,944,870,1951,1999,7532 44th Ave NE,Seattle,WA 98115,USA
1283,2014-05-23 00:00:00,90000.0,2.0,1.0,580,7500,1.0,0,0,3,580,0,1943,2002,6621 S 131st Pl,Seattle,WA 98178,USA
1284,2014-05-23 00:00:00,585000.0,3.0,2.0,1670,4572,1.5,0,0,3,1670,0,1931,0,7705 13th Ave NW,Seattle,WA 98117,USA
1286,2014-05-23 00:00:00,379000.0,2.0,1.0,800,6380,1.0,0,2,3,800,0,1940,1996,1709 NE 86th St,Seattle,WA 98115,USA
1287,2014-05-23 00:00:00,462000.0,3.0,1.75,1300,2580,1.0,0,0,5,820,480,1919,1934,825 NE 63rd St,Seattle,WA 98115,USA
1292,2014-05-23 00:00:00,606000.0,3.0,1.0,1500,3920,1.0,0,0,3,1000,500,1947,2012,128 NW 59th St,Seattle,WA 98107,USA
1293,2014-05-23 00:00:00,334000.0,4.0,2.5,2210,6080,1.0,0,2,4,1410,800,1965,0,12413 84th Ave S,Seattle,WA 98178,USA
1294,2014-05-23 00:00:00,360000.0,3.0,2.0,1270,1323,3.0,0,0,3,1270,0,2006,0,8830 Midvale Ave N,Seattle,WA 98103,USA
1295,2014-05-23 00:00:00,235000.0,2.0,1.0,1140,1730,1.5,0,0,3,1010,130,2007,0,3002 SW Cycle Ct,Seattle,WA 98126,USA
1296,2014-05-23 00:00:00,580000.0,3.0,2.5,1620,1173,3.0,0,4,3,1470,150,2008,0,5410 Greenwood Ave N,Seattle,WA 98103,USA
1297,2014-05-23 00:00:00,355000.0,3.0,2.0,1220,1186,3.0,0,0,3,1220,0,2007,0,9245a Interlake Ave N,Seattle,WA 98103,USA
1298,2014-05-23 00:00:00,375000.0,2.0,2.5,750,1430,2.0,0,0,3,750,0,2006,0,1700 E Columbia St,Seattle,WA 98122,USA
1300,2014-05-24 00:00:00,479000.0,3.0,1.0,1370,3000,1.5,0,0,3,1370,0,1924,2011,611 N 46th St,Seattle,WA 98103,USA
1303,2014-05-24 00:00:00,501000.0,2.0,1.0,1010,4320,1.0,0,0,5,1010,0,1924,1956,7550 Roosevelt Way NE,Seattle,WA 98115,USA
1315,2014-05-26 00:00:00,276000.0,3.0,1.0,1140,5000,1.0,0,0,3,1140,0,1960,2012,5403 23rd Ave SW,Seattle,WA 98106,USA
1322,2014-05-27 00:00:00,468000.0,2.0,1.0,1160,6000,1.0,0,0,4,860,300,1942,1982,3169 NE 85th St,Seattle,WA 98115,USA
1323,2014-05-27 00:00:00,477000.0,4.0,2.75,1720,6270,2.0,0,0,3,1720,0,1978,0,5149 S Graham St,Seattle,WA 98118,USA
1324,2014-05-27 00:00:00,529000.0,3.0,1.0,1210,3328,1.5,0,0,4,1210,0,1924,0,6015 5th Ave NW,Seattle,WA 98107,USA
1325,2014-05-27 00:00:00,312000.0,3.0,1.5,1255,1374,3.0,0,0,3,1255,0,2004,2003,11716 16th Ave NE,Seattle,WA 98125,USA
1326,2014-05-27 00:00:00,326100.0,2.0,1.0,880,7683,1.0,0,0,3,880,0,1942,1999,11709 3rd Ave NW,Seattle,WA 98177,USA
1327,2014-05-27 00:00:00,360000.0,3.0,1.0,1050,9206,1.5,0,0,3,1050,0,1954,2005,10710 Lake City Way NE,Seattle,WA 98125,USA
1330,2014-05-27 00:00:00,1050000.0,4.0,2.5,2920,7200,1.0,0,3,3,1470,1450,1921,2006,3438-3474 S Charles St,Seattle,WA 98144,USA
1331,2014-05-27 00:00:00,688000.0,4.0,3.0,3000,4000,1.5,0,3,3,1970,1030,1913,2014,3220 19th Ave S,Seattle,WA 98144,USA
1336,2014-05-27 00:00:00,160000.0,2.0,1.0,1180,9350,1.0,0,0,3,1180,0,1918,0,12662 60th Ave S,Seattle,WA 98178,USA
1337,2014-05-27 00:00:00,1570000.0,4.0,3.75,3070,5850,2.0,0,0,5,2400,670,1927,0,1527 39th Ave E,Seattle,WA 98112,USA
1339,2014-05-27 00:00:00,400000.0,2.0,1.0,1470,6120,1.0,0,0,2,1470,0,1940,0,3825 NE 87th St,Seattle,WA 98115,USA
1344,2014-05-27 00:00:00,730001.0,3.0,2.0,1840,4750,1.0,0,0,5,1010,830,1951,0,7741 29th Ave NW,Seattle,WA 98117,USA
1347,2014-05-27 00:00:00,751750.0,2.0,2.0,1880,5400,1.5,0,0,3,1880,0,1902,0,516 16th Ave E,Seattle,WA 98112,USA
1350,2014-05-27 00:00:00,457500.0,3.0,1.75,1840,4030,1.0,0,0,5,1050,790,1925,0,1626 S Bennett St,Seattle,WA 98108,USA
1353,2014-05-27 00:00:00,732000.0,3.0,2.5,2330,1987,2.0,0,4,3,1410,920,2004,2003,6123 37th Ave NW,Seattle,WA 98107,USA
1355,2014-05-27 00:00:00,1655000.0,4.0,3.5,3080,4815,2.0,0,3,3,2300,780,1937,2009,2441-2499 Crane Dr W,Seattle,WA 98199,USA
1356,2014-05-27 00:00:00,535000.0,2.0,1.0,1040,5527,1.0,0,0,3,1040,0,1951,1994,6559 42nd Ave NE,Seattle,WA 98115,USA
1357,2014-05-27 00:00:00,540000.0,4.0,4.25,1960,3565,2.0,0,0,3,1960,0,1940,2003,2113 41st Ave SW,Seattle,WA 98116,USA
1358,2014-05-27 00:00:00,525000.0,5.0,3.0,2750,3800,1.5,0,0,5,1750,1000,1926,0,7550 14th Avenue Northeast,Seattle,WA 98115,USA
1362,2014-05-27 00:00:00,1100000.0,3.0,2.75,2640,4050,1.5,0,0,5,1750,890,1926,0,1532 McGilvra Blvd E,Seattle,WA 98112,USA
1371,2014-05-27 00:00:00,499950.0,3.0,3.5,1820,1501,2.0,0,0,3,1430,390,2014,0,729 Martin Luther King Jr Way S,Seattle,WA 98144,USA
1373,2014-05-27 00:00:00,329000.0,3.0,1.0,1600,5952,1.0,0,0,4,1150,450,1964,0,8127 22nd Ave SW,Seattle,WA 98106,USA
1376,2014-05-27 00:00:00,435000.0,3.0,1.0,1270,4000,1.5,0,2,3,1270,0,1928,1954,3824 35th Ave SW,Seattle,WA 98126,USA
1379,2014-05-27 00:00:00,780000.0,3.0,3.0,2520,2152,1.5,0,0,3,1560,960,1925,2006,1906 11th Ave W,Seattle,WA 98119,USA
1380,2014-05-27 00:00:00,345000.0,2.0,1.5,1180,844,2.0,0,0,3,990,190,2005,0,323 25th Ave S,Seattle,WA 98144,USA
1384,2014-05-27 00:00:00,967500.0,3.0,3.75,3250,5797,2.0,0,2,4,2370,880,1951,1999,3041 37th Ave W,Seattle,WA 98199,USA
1385,2014-05-27 00:00:00,375000.0,3.0,1.5,2000,7294,1.0,0,0,3,1520,480,1965,1993,5230 S Rose St,Seattle,WA 98118,USA
1386,2014-05-27 00:00:00,1600000.0,3.0,3.25,3790,19000,2.0,0,4,3,3790,0,1985,0,17780 13th Ave NW,Seattle,WA 98177,USA
1388,2014-05-27 00:00:00,994000.0,3.0,2.25,2510,6339,1.5,0,2,5,1810,700,1932,2002,3227 Whalley Pl W,Seattle,WA 98199,USA
1392,2014-05-27 00:00:00,675000.0,3.0,2.5,2540,7680,2.0,0,1,4,2540,0,1940,2001,12037 6th Ave NW,Seattle,WA 98177,USA
1394,2014-05-27 00:00:00,280000.0,3.0,1.0,1200,6250,1.0,0,0,3,920,280,1943,2002,10424 2nd Ave S,Seattle,WA 98168,USA
1401,2014-05-27 00:00:00,535000.0,4.0,2.5,2340,5600,2.0,0,0,3,2340,0,1921,2013,10207 37th Ave SW,Seattle,WA 98146,USA
1402,2014-05-27 00:00:00,427000.0,2.0,1.0,920,3780,1.0,0,0,3,920,0,1910,2006,807 N 42nd St,Seattle,WA 98103,USA
1403,2014-05-27 00:00:00,405000.0,2.0,1.0,910,6490,1.0,0,0,3,910,0,1942,1999,8221 21st Ave NE,Seattle,WA 98115,USA
1404,2014-05-27 00:00:00,480000.0,3.0,1.0,1150,4945,1.0,0,2,3,1150,0,1943,2002,4103 37th Ave SW,Seattle,WA 98126,USA
1405,2014-05-27 00:00:00,725000.0,3.0,1.5,2500,4774,1.5,0,2,3,1450,1050,1940,1996,4111 1st Ave NW,Seattle,WA 98107,USA
1409,2014-05-27 00:00:00,488000.0,3.0,2.5,1590,2550,3.0,0,0,3,1590,0,1985,0,6601-6699 28th Ave NW,Seattle,WA 98117,USA
1414,2014-05-27 00:00:00,460000.0,3.0,3.5,1600,1431,2.0,0,0,3,1240,360,2006,0,7906 6th Ave NW,Seattle,WA 98117,USA
1415,2014-05-27 00:00:00,399950.0,3.0,3.0,1296,1051,3.0,0,0,3,1296,0,2009,0,12303 Sand Point Way NE,Seattle,WA 98125,USA
1416,2014-05-27 00:00:00,370000.0,2.0,2.25,1280,835,2.0,0,0,3,1080,200,2009,0,3825 S Angeline St,Seattle,WA 98118,USA
1420,2014-05-27 00:00:00,495000.0,3.0,2.5,1750,1548,3.0,0,0,3,1750,0,2013,1923,3933 S Brandon St,Seattle,WA 98118,USA
1430,2014-05-28 00:00:00,599000.0,4.0,2.75,2020,2750,1.0,0,0,3,1010,1010,1917,2014,3212 E Terrace St,Seattle,WA 98122,USA
1431,2014-05-28 00:00:00,815000.0,4.0,2.25,2000,3800,2.0,0,0,3,2000,0,2001,0,7708 16th Ave NE,Seattle,WA 98115,USA
1433,2014-05-28 00:00:00,740000.0,2.0,1.75,2080,4800,1.0,0,0,5,1080,1000,1923,0,333 NW 84th St,Seattle,WA 98117,USA
1435,2014-05-28 00:00:00,925000.0,3.0,2.5,2690,7000,2.0,0,0,5,1840,850,1943,0,6825 48th Ave NE,Seattle,WA 98115,USA
1436,2014-05-28 00:00:00,1285000.0,4.0,2.5,3240,10800,1.0,0,0,3,2260,980,1946,0,5726 61st Ave NE,Seattle,WA 98105,USA
1438,2014-05-28 00:00:00,335000.0,4.0,2.0,1480,3132,1.0,0,0,5,740,740,1910,0,5840 16th Ave S,Seattle,WA 98108,USA
1439,2014-05-28 00:00:00,840000.0,4.0,2.75,3040,2800,2.0,0,0,3,2100,940,1906,2014,318 E Mercer St,Seattle,WA 98102,USA
1442,2014-05-28 00:00:00,450000.0,3.0,1.0,1100,4600,1.0,0,0,3,1100,0,1917,2009,3920 42nd Ave SW,Seattle,WA 98116,USA
1443,2014-05-28 00:00:00,681000.0,3.0,1.0,1700,6356,1.5,0,0,3,1700,0,1907,1983,4001 42nd Ave S,Seattle,WA 98118,USA
1445,2014-05-28 00:00:00,370000.0,3.0,1.0,800,2296,1.0,0,0,4,800,0,1908,0,125 N Bowdoin Pl,Seattle,WA 98103,USA
1447,2014-05-28 00:00:00,150000.0,3.0,1.0,820,7680,1.5,0,0,3,820,0,1910,2006,8408 20th Ave SW,Seattle,WA 98106,USA
1457,2014-05-28 00:00:00,432500.0,3.0,1.75,1980,5100,1.0,0,0,3,1270,710,1965,1993,8516 Linden Ave N,Seattle,WA 98103,USA
1464,2014-05-28 00:00:00,1175000.0,3.0,2.5,1970,23180,1.0,1,4,3,1100,870,1937,1998,5923 Beach Dr SW,Seattle,WA 98136,USA
1466,2014-05-28 00:00:00,820000.0,3.0,2.5,2510,5503,2.0,0,2,3,2510,0,1995,0,6736 40th Ave SW,Seattle,WA 98136,USA
1468,2014-05-28 00:00:00,1400000.0,4.0,3.25,2980,7000,2.0,0,3,3,2140,840,1900,2014,3115 S Norman St,Seattle,WA 98144,USA
1469,2014-05-28 00:00:00,438750.0,3.0,1.75,1610,6480,1.0,0,0,4,1610,0,1947,1988,2003 NE 117th St,Seattle,WA 98125,USA
1470,2014-05-28 00:00:00,1210000.0,4.0,2.75,3650,6982,2.0,0,2,4,2530,1120,1951,2003,4911 NE 65th St,Seattle,WA 98115,USA
1472,2014-05-28 00:00:00,589000.0,3.0,1.0,1110,6000,1.5,0,0,5,1110,0,1932,2002,3228 36th Ave W,Seattle,WA 98199,USA
1473,2014-05-28 00:00:00,590000.0,3.0,2.0,1650,6150,2.0,0,0,4,1650,0,1926,1993,3627 48th Ave SW,Seattle,WA 98116,USA
1475,2014-05-28 00:00:00,210000.0,2.0,1.5,880,1157,2.0,0,0,3,880,0,2007,0,9413 34th Ave SW,Seattle,WA 98126,USA
1477,2014-05-28 00:00:00,840500.0,3.0,2.0,2520,5400,1.5,0,0,4,1410,1110,1906,1990,1917 3rd Ave W,Seattle,WA 98119,USA
1479,2014-05-28 00:00:00,565000.0,7.0,4.5,4140,9066,1.0,0,0,3,2070,2070,1978,0,14007 35th Ave NE,Seattle,WA 98125,USA
1483,2014-05-28 00:00:00,380000.0,3.0,2.0,1660,8281,1.0,0,0,3,1660,0,1949,1998,5021 Fauntleroy Way SW,Seattle,WA 98136,USA
1485,2014-05-28 00:00:00,355000.0,2.0,1.0,1270,3200,1.0,0,0,4,960,310,1920,0,4038 Linden Ave N,Seattle,WA 98103,USA
1486,2014-05-28 00:00:00,277000.0,4.0,1.0,1450,6250,1.0,0,0,3,990,460,1964,2000,10020 18th Ave SW,Seattle,WA 98146,USA
1488,2014-05-28 00:00:00,270000.0,3.0,1.75,1300,4127,1.0,0,0,4,650,650,1918,1953,1309 SW Webster St,Seattle,WA 98106,USA
1489,2014-05-28 00:00:00,700000.0,2.0,1.75,2320,5500,1.5,0,2,3,1720,600,1925,2000,1903 32nd Ave S,Seattle,WA 98144,USA
1491,2014-05-28 00:00:00,635000.0,3.0,2.5,2300,5500,1.5,0,0,4,2000,300,1921,0,2739 31st Ave S,Seattle,WA 98144,USA
1492,2014-05-28 00:00:00,510250.0,3.0,1.75,1400,4000,1.0,0,0,3,870,530,1951,1994,8520 19th Ave NW,Seattle,WA 98117,USA
1493,2014-05-28 00:00:00,960000.0,4.0,2.25,2410,4560,2.0,0,2,5,1800,610,1929,0,7006 35th Ave NW,Seattle,WA 98117,USA
1498,2014-05-28 00:00:00,580000.0,5.0,2.0,1940,6000,1.0,0,0,5,970,970,1945,0,8026 38th Ave NE,Seattle,WA 98115,USA
1500,2014-05-28 00:00:00,1970000.0,8.0,3.5,4440,6480,2.0,0,3,5,3140,1300,1959,0,1210 22nd Ave E,Seattle,WA 98112,USA
1501,2014-05-28 00:00:00,285000.0,2.0,1.0,800,6240,1.0,0,0,3,800,0,1954,2005,13332 30th Ave NE,Seattle,WA 98125,USA
1503,2014-05-28 00:00:00,840000.0,4.0,1.75,2330,4000,2.0,0,0,5,1300,1030,1924,1956,5036 36th Ave NE,Seattle,WA 98105,USA
1504,2014-05-28 00:00:00,474800.0,2.0,3.25,1400,1243,3.0,0,0,3,1400,0,2000,0,3648 Francis Ave N,Seattle,WA 98103,USA
1508,2014-05-28 00:00:00,430000.0,3.0,3.75,3890,7140,1.0,0,2,3,2390,1500,1943,2007,10631 Forest Ave S,Seattle,WA 98178,USA
1515,2014-05-28 00:00:00,345000.0,2.0,1.0,1080,4000,1.0,0,0,3,1080,0,1940,1996,8351 Jones Ave NW,Seattle,WA 98117,USA
1516,2014-05-28 00:00:00,875000.0,3.0,2.75,2280,4280,1.0,0,0,5,1280,1000,1917,0,1829 N 55th St,Seattle,WA 98103,USA
1518,2014-05-28 00:00:00,1400000.0,4.0,3.25,4700,9160,1.0,0,4,3,2520,2180,2005,0,5700-5798 SW Hinds St,Seattle,WA 98116,USA
1523,2014-05-28 00:00:00,325000.0,2.0,2.5,1050,1609,2.0,0,0,3,1050,0,2005,0,1505 S Plum St,Seattle,WA 98144,USA
1524,2014-05-29 00:00:00,485000.0,4.0,1.0,1600,4300,1.5,0,0,4,1600,0,1916,0,1215 N 50th St,Seattle,WA 98103,USA
1530,2014-05-29 00:00:00,535000.0,3.0,2.5,1360,1016,3.0,0,0,3,1310,50,2003,0,501 NE Ravenna Blvd,Seattle,WA 98115,USA
1531,2014-05-29 00:00:00,389000.0,2.0,1.0,910,7000,1.0,0,0,3,910,0,1952,2008,2043 NE 98th St,Seattle,WA 98115,USA
1532,2014-05-29 00:00:00,400000.0,4.0,1.5,1390,7200,1.0,0,0,3,1140,250,1965,1993,2150 N 128th St,Seattle,WA 98133,USA
1540,2014-05-29 00:00:00,820000.0,4.0,2.25,2280,6660,1.5,0,2,3,1960,320,1940,1984,811 W Bertona St,Seattle,WA 98119,USA
1542,2014-05-29 00:00:00,436500.0,2.0,1.0,1260,5000,1.0,0,0,3,1040,220,1951,1994,3028 NW 68th St,Seattle,WA 98117,USA
1543,2014-05-29 00:00:00,2453500.0,4.0,3.5,4730,13586,1.5,0,0,5,4270,460,1935,0,1404 Broadmoor Dr E,Seattle,WA 98112,USA
1545,2014-05-29 00:00:00,680000.0,3.0,2.25,2330,4000,1.5,0,2,5,1520,810,1927,0,6032 35th Ave NE,Seattle,WA 98115,USA
1546,2014-05-29 00:00:00,750500.0,5.0,3.0,2170,2440,1.5,0,0,4,1450,720,1911,1966,1006 NE Ravenna Blvd,Seattle,WA 98105,USA
1547,2014-05-29 00:00:00,550000.0,5.0,2.0,2450,9488,1.0,0,0,4,1240,1210,1900,1955,10515 Ashworth Ave N,Seattle,WA 98133,USA
1549,2014-05-29 00:00:00,619000.0,4.0,2.0,2300,3400,1.5,0,0,5,1550,750,1915,0,308 NW 67th St,Seattle,WA 98117,USA
1551,2014-05-29 00:00:00,300000.0,2.0,1.0,820,3844,1.0,0,0,4,820,0,1916,0,723 N 105th St,Seattle,WA 98133,USA
1554,2014-05-29 00:00:00,400000.0,4.0,2.75,1240,3867,1.0,0,0,3,800,440,1987,2000,12001 Bartlett Ave NE,Seattle,WA 98125,USA
1556,2014-05-29 00:00:00,450000.0,4.0,2.0,2240,7725,1.0,0,0,5,1120,1120,1956,0,2503 SW Portland Ct,Seattle,WA 98106,USA
1557,2014-05-29 00:00:00,595000.0,3.0,2.0,1480,5000,1.0,0,0,4,750,730,1928,0,7728 11th Ave NW,Seattle,WA 98117,USA
1559,2014-05-29 00:00:00,155000.0,3.0,1.0,1250,6250,1.0,0,0,2,1030,220,1949,0,8215 8th Ave S,Seattle,WA 98108,USA
1562,2014-05-29 00:00:00,529000.0,3.0,1.0,1590,6420,1.0,0,0,3,1590,0,1944,0,4531 SW Webster St,Seattle,WA 98136,USA
1564,2014-05-29 00:00:00,635200.0,4.0,1.75,1640,4240,1.0,0,0,5,920,720,1921,0,6517 Dibble Ave NW,Seattle,WA 98117,USA
1565,2014-05-29 00:00:00,540000.0,3.0,1.5,2600,5085,1.0,0,0,4,1400,1200,1940,2001,4118 35th Ave SW,Seattle,WA 98126,USA
1566,2014-05-29 00:00:00,402000.0,2.0,1.0,710,1173,2.0,0,0,4,710,0,1943,0,2348 Fairview Ave E,Seattle,WA 98102,USA
1568,2014-05-29 00:00:00,329932.0,3.0,1.5,1460,5040,1.0,0,0,3,1100,360,1971,0,11221 Palatine Ave N,Seattle,WA 98133,USA
1574,2014-05-29 00:00:00,445000.0,4.0,1.75,1990,4725,1.5,0,0,4,1190,800,1944,0,3713 SW Sullivan St,Seattle,WA 98126,USA
1576,2014-05-29 00:00:00,395000.0,2.0,1.0,1320,1824,1.5,0,0,4,1320,0,1909,1989,2000 30th Ave S,Seattle,WA 98144,USA
